FID,allclasses,bikedir,boro,comments,facilitycl,fromstreet,ft_facilit,date_instd,time_instd,lanecount,date_modda,time_modda,onoffst,segment_id,street,tf_facilit,tostreet
14113,II,L,3, ,II,COOPER AVE, ,2016-08-26,00:00:00.000,1,2016-08-26,00:00:00.000,ON,9005431,KNICKERBOCKER AVE,Standard,FLUSHING AVE
14114,II,L,3, ,II,COOPER AVE, ,2016-08-26,00:00:00.000,1,2016-08-26,00:00:00.000,ON,9005432,KNICKERBOCKER AVE,Standard,FLUSHING AVE
14115,II,L,3, ,II,COOPER AVE, ,2016-08-26,00:00:00.000,1,2016-08-26,00:00:00.000,ON,9005433,KNICKERBOCKER AVE,Standard,FLUSHING AVE
14116,II,L,3, ,II,COOPER AVE, ,2016-08-26,00:00:00.000,1,2016-08-26,00:00:00.000,ON,9005434,KNICKERBOCKER AVE,Standard,FLUSHING AVE
14117,II,L,3, ,II,COOPER AVE, ,2016-08-26,00:00:00.000,1,2016-08-26,00:00:00.000,ON,9005435,KNICKERBOCKER AVE,Standard,FLUSHING AVE
14118,II,L,3, ,II,MALCOLM X BLVD, ,2008-05-01,00:00:00.000,1,2008-05-01,00:00:00.000,ON,9005460,DE KALB AV,Standard,HUDSON AV
14119,II,L,3, ,II,MALCOLM X BLVD, ,2008-05-01,00:00:00.000,1,2008-05-01,00:00:00.000,ON,9005461,DE KALB AV,Standard,HUDSON AV
14120,II,L,3, ,II,MALCOLM X BLVD, ,2008-05-01,00:00:00.000,1,2008-05-01,00:00:00.000,ON,9005462,DE KALB AV,Standard,HUDSON AV
14121,II,L,3, ,II,MALCOLM X BLVD, ,2008-05-01,00:00:00.000,1,2008-05-01,00:00:00.000,ON,9005463,DE KALB AV,Standard,HUDSON AV
14122,II,L,3, ,II,MALCOLM X BLVD, ,2008-05-01,00:00:00.000,1,2008-05-01,00:00:00.000,ON,9005464,DE KALB AV,Standard,HUDSON AV
14123,II,L,3, ,II,MALCOLM X BLVD, ,2008-05-01,00:00:00.000,1,2008-05-01,00:00:00.000,ON,9005465,DE KALB AV,Standard,HUDSON AV
14124,II,L,3, ,II,MALCOLM X BLVD, ,2008-05-01,00:00:00.000,1,2008-05-01,00:00:00.000,ON,9005466,DE KALB AV,Standard,HUDSON AV
14125,II,L,3, ,II,MALCOLM X BLVD, ,2008-05-01,00:00:00.000,1,2008-05-01,00:00:00.000,ON,9005467,DE KALB AV,Standard,HUDSON AV
