FID,allclasses,bikedir,boro,comments,facilitycl,fromstreet,ft_facilit,date_instd,time_instd,lanecount,date_modda,time_modda,onoffst,segment_id,street,tf_facilit,tostreet
0,I,L,1, ,I,W 16 ST, ,2008-09-25,00:00:00.000,1,2008-09-25,00:00:00.000,ON,33547,9 AV,Protected Path,W 31 ST
1,II,R,3, ,II,DEAN ST,Standard,1980-07-01,00:00:00.000,1,1980-07-01,00:00:00.000,ON,22630,3 AV, ,15 ST
2,III,L,3,downgrade to shared,III,TILLARY ST, ,2006-06-01,00:00:00.000,1,2017-07-01,00:00:00.000,ON,299123,ADAMS ST,Sharrows,SANDS ST
3,III,R,1, ,III,5 AV,Sharrows,2012-09-12,00:00:00.000,1,2012-09-12,00:00:00.000,ON,34170,W 39 ST, ,8 AV
4,II,L,3, ,II,FLUSHING AV, ,2003-06-01,00:00:00.000,1,2003-06-01,00:00:00.000,ON,43043,THROOP AV,Standard,FULTON ST
5,III,R,3, ,III,DOUGLASS ST,Sharrows,2010-06-01,00:00:00.000,1,2010-06-01,00:00:00.000,ON,22547,HOYT ST, ,3 ST
6,II,R,1, ,II,BROADWAY,Standard,2012-09-21,00:00:00.000,1,2012-09-21,00:00:00.000,ON,35845,W 51 ST, ,5 AV
7,II,L,4, ,II,BEACH 193 ST, ,1997-05-01,00:00:00.000,1,1997-05-01,00:00:00.000,ON,196522,STATE RD,Curbside,BEACH 169 ST
8,I,2,5, ,I,HYLAN BLVD,Greenway,2005-06-01,00:00:00.000,2,2005-06-01,00:00:00.000,OFF,53,CONFERENCE HOUSE PARK GREENWAY,Greenway,SWINNERTON ST
9,I,2,5, ,I,HYLAN BLVD,Greenway,2005-06-01,00:00:00.000,2,2005-06-01,00:00:00.000,OFF,57,CONFERENCE HOUSE PARK GREENWAY,Greenway,SWINNERTON ST
10,I,2,5, ,I,HYLAN BLVD,Greenway,2005-06-01,00:00:00.000,2,2005-06-01,00:00:00.000,OFF,59,CONFERENCE HOUSE PARK GREENWAY,Greenway,SWINNERTON ST
11,I,2,5, ,I,HYLAN BLVD,Greenway,2005-06-01,00:00:00.000,2,2005-06-01,00:00:00.000,OFF,61,CONFERENCE HOUSE PARK GREENWAY,Greenway,SWINNERTON ST
12,I,2,5, ,I,HYLAN BLVD,Greenway,2005-06-01,00:00:00.000,2,2005-06-01,00:00:00.000,OFF,64,CONFERENCE HOUSE PARK GREENWAY,Greenway,SWINNERTON ST
13,I,2,5, ,I,HYLAN BLVD,Greenway,2005-06-01,00:00:00.000,2,2005-06-01,00:00:00.000,OFF,139,CONFERENCE HOUSE PARK GREENWAY,Greenway,SWINNERTON ST
14,I,2,5, ,I,HYLAN BLVD,Greenway,2005-06-01,00:00:00.000,2,2005-06-01,00:00:00.000,OFF,141,CONFERENCE HOUSE PARK GREENWAY,Greenway,SWINNERTON ST
15,I,2,5, ,I,HYLAN BLVD,Greenway,2005-06-01,00:00:00.000,2,2005-06-01,00:00:00.000,OFF,145,CONFERENCE HOUSE PARK GREENWAY,Greenway,SWINNERTON ST
16,I,2,5, ,I,HYLAN BLVD,Greenway,2005-06-01,00:00:00.000,2,2005-06-01,00:00:00.000,OFF,157,CONFERENCE HOUSE PARK GREENWAY,Greenway,SWINNERTON ST
17,I,2,5, ,I,HYLAN BLVD,Greenway,2005-06-01,00:00:00.000,2,2005-06-01,00:00:00.000,OFF,233,CONFERENCE HOUSE PARK GREENWAY,Greenway,SWINNERTON ST
18,II,2,5, ,II,PAGE AV,Standard,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,735,HYLAN BLVD,Standard,POILLON AV
19,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,812,HYLAN BLVD,Curbside,POILLON AV
20,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,816,HYLAN BLVD,Curbside,POILLON AV
21,I,2,5, ,I,HYLAN BLVD,Greenway,1900-01-01,00:00:00.000,2,1900-01-01,00:00:00.000,OFF,841,MOUNT LORETTO GREENWAY,Greenway,HYLAN BLVD
22,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,844,HYLAN BLVD,Curbside,POILLON AV
23,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,847,HYLAN BLVD,Curbside,POILLON AV
24,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,850,HYLAN BLVD,Curbside,POILLON AV
25,I,2,5, ,I,HYLAN BLVD,Greenway,1900-01-01,00:00:00.000,2,1900-01-01,00:00:00.000,OFF,878,MOUNT LORETTO GREENWAY,Greenway,HYLAN BLVD
26,I,2,5, ,I,HYLAN BLVD,Greenway,1900-01-01,00:00:00.000,2,1900-01-01,00:00:00.000,OFF,879,MOUNT LORETTO GREENWAY,Greenway,HYLAN BLVD
27,I,2,5, ,I,HYLAN BLVD,Greenway,1900-01-01,00:00:00.000,2,1900-01-01,00:00:00.000,OFF,880,MOUNT LORETTO GREENWAY,Greenway,HYLAN BLVD
28,I,2,5, ,I,HYLAN BLVD,Greenway,1900-01-01,00:00:00.000,2,1900-01-01,00:00:00.000,OFF,881,MOUNT LORETTO GREENWAY,Greenway,HYLAN BLVD
29,I,2,5, ,I,HYLAN BLVD,Greenway,1900-01-01,00:00:00.000,2,1900-01-01,00:00:00.000,OFF,882,MOUNT LORETTO GREENWAY,Greenway,HYLAN BLVD
30,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,1041,HYLAN BLVD,Curbside,POILLON AV
31,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,1046,HYLAN BLVD,Curbside,POILLON AV
32,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,1089,HYLAN BLVD,Standard,POILLON AV
33,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,1128,HYLAN BLVD,Standard,POILLON AV
34,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,1138,HYLAN BLVD,Standard,POILLON AV
35,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,1148,HYLAN BLVD,Curbside,POILLON AV
36,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,1151,HYLAN BLVD,Standard,POILLON AV
37,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,2579,HYLAN BLVD,Curbside,POILLON AV
38,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,2581,HYLAN BLVD,Curbside,POILLON AV
39,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,2583,HYLAN BLVD,Curbside,POILLON AV
40,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,2586,HYLAN BLVD,Curbside,POILLON AV
41,II,2,5, ,II,PAGE AV,Standard,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,2896,HYLAN BLVD,Standard,POILLON AV
42,II,2,5, ,II,PAGE AV,Standard,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,2898,HYLAN BLVD,Standard,POILLON AV
43,II,2,5, ,II,PAGE AV,Standard,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,2906,HYLAN BLVD,Standard,POILLON AV
44,II,2,5, ,II,PAGE AV,Standard,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,2907,HYLAN BLVD,Curbside,POILLON AV
45,II,2,5, ,II,PAGE AV,Standard,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,2908,HYLAN BLVD,Curbside,POILLON AV
46,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,3018,HYLAN BLVD,Curbside,POILLON AV
47,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,3022,HYLAN BLVD,Curbside,POILLON AV
48,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,3023,HYLAN BLVD,Curbside,POILLON AV
49,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,3131,HYLAN BLVD,Curbside,POILLON AV
50,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,3137,HYLAN BLVD,Standard,POILLON AV
51,II,2,5, ,II,PAGE AV,Standard,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,3256,HYLAN BLVD,Curbside,POILLON AV
52,II,2,5, ,II,PAGE AV,Curbside,2007-10-01,00:00:00.000,2,2007-10-01,00:00:00.000,ON,3259,HYLAN BLVD,Curbside,POILLON AV
53,II,2,5, ,II,LAMBERTS LA,Standard,2005-11-01,00:00:00.000,2,2005-11-01,00:00:00.000,ON,4871,ARLENE ST,Standard,SIGNS RD
54,III,2,5, ,III,NOME AVE,Sharrows,2016-07-15,00:00:00.000,2,2016-07-15,00:00:00.000,ON,4917,STEINWAY AVE,Sharrows,TRAVIS AVE
55,II,2,5, ,II,LAMBERTS LA,Standard,2005-11-01,00:00:00.000,2,2005-11-01,00:00:00.000,ON,4975,ARLENE ST,Standard,SIGNS RD
56,II,2,5, ,II,LAMBERTS LA,Standard,2005-11-01,00:00:00.000,2,2005-11-01,00:00:00.000,ON,4980,ARLENE ST,Standard,SIGNS RD
57,III,2,5, ,III,NOME AVE,Sharrows,2016-07-15,00:00:00.000,2,2016-07-15,00:00:00.000,ON,5039,STEINWAY AVE,Sharrows,TRAVIS AVE
58,II,2,5, ,II,STEINWAY AVE,Standard,2016-07-08,00:00:00.000,2,2016-07-08,00:00:00.000,ON,5044,TRAVIS AVE,Standard,KELLY BLVD
59,III,2,5, ,III,NOME AVE,Sharrows,2016-07-15,00:00:00.000,2,2016-07-15,00:00:00.000,ON,5050,STEINWAY AVE,Sharrows,TRAVIS AVE
60,II,2,5, ,II,STEINWAY AVE,Standard,2016-07-08,00:00:00.000,2,2016-07-08,00:00:00.000,ON,5052,TRAVIS AVE,Standard,KELLY BLVD
61,II,2,5, ,II,LAMBERTS LA,Standard,2005-11-01,00:00:00.000,2,2005-11-01,00:00:00.000,ON,5362,ARLENE ST,Standard,SIGNS RD
62,II,2,5, ,II,LAMBERTS LA,Standard,2005-11-01,00:00:00.000,2,2005-11-01,00:00:00.000,ON,5365,ARLENE ST,Standard,SIGNS RD
63,II,2,5, ,II,LAMBERTS LA,Standard,2005-11-01,00:00:00.000,2,2005-11-01,00:00:00.000,ON,5367,ARLENE ST,Standard,SIGNS RD
64,II,2,5, ,II,LAMBERTS LA,Standard,2005-11-01,00:00:00.000,2,2005-11-01,00:00:00.000,ON,5368,ARLENE ST,Standard,SIGNS RD
65,II,2,5, ,II,LAMBERTS LA,Standard,2005-11-01,00:00:00.000,2,2005-11-01,00:00:00.000,ON,5388,ARLENE ST,Standard,SIGNS RD
66,II,2,5, ,II,LAMBERTS LA,Standard,2005-11-01,00:00:00.000,2,2005-11-01,00:00:00.000,ON,5397,ARLENE ST,Standard,SIGNS RD
67,II,2,5, ,II,LAMBERTS LA,Standard,2005-11-01,00:00:00.000,2,2005-11-01,00:00:00.000,ON,5402,ARLENE ST,Standard,SIGNS RD
68,II,2,5, ,II,LAMBERTS LA,Standard,2005-11-01,00:00:00.000,2,2005-11-01,00:00:00.000,ON,5405,ARLENE ST,Standard,SIGNS RD
69,II,2,5, ,II,LAMBERTS LA,Standard,2005-11-01,00:00:00.000,2,2005-11-01,00:00:00.000,ON,5407,ARLENE ST,Standard,SIGNS RD
70,III,2,5, ,III,GUYON AV,Sharrows,2009-06-01,00:00:00.000,2,2009-06-01,00:00:00.000,ON,7507,S RAILROAD AV,Sharrows,BEACH AV
71,III,2,5, ,III,GUYON AV,Sharrows,2009-06-01,00:00:00.000,2,2009-06-01,00:00:00.000,ON,7515,S RAILROAD AV,Sharrows,BEACH AV
72,III,2,5, ,III,GUYON AV,Sharrows,2009-06-01,00:00:00.000,2,2009-06-01,00:00:00.000,ON,7527,S RAILROAD AV,Sharrows,BEACH AV
73,II,2,5, ,II,STEINWAY AVE,Standard,2016-07-08,00:00:00.000,2,2016-07-08,00:00:00.000,ON,7642,TRAVIS AVE,Standard,KELLY BLVD
74,II,2,5, ,II,STEINWAY AVE,Standard,2016-07-08,00:00:00.000,2,2016-07-08,00:00:00.000,ON,7646,TRAVIS AVE,Standard,KELLY BLVD
75,II,2,5, ,II,STEINWAY AVE,Standard,2016-07-08,00:00:00.000,2,2016-07-08,00:00:00.000,ON,7648,TRAVIS AVE,Standard,KELLY BLVD
76,II,2,5, ,II,STEINWAY AVE,Standard,2016-07-08,00:00:00.000,2,2016-07-08,00:00:00.000,ON,7720,TRAVIS AVE,Standard,KELLY BLVD
77,II,2,5, ,II,STEINWAY AVE,Standard,2016-07-08,00:00:00.000,2,2016-07-08,00:00:00.000,ON,7728,TRAVIS AVE,Standard,KELLY BLVD
78,II,2,5, ,II,TRAVIS AVE,Standard,2016-07-08,00:00:00.000,2,2016-07-08,00:00:00.000,ON,7731,KELLY BLVD,Standard,ROCKLAND AVE
79,II,2,5, ,II,TRAVIS AVE,Standard,2016-07-08,00:00:00.000,2,2016-07-08,00:00:00.000,ON,7815,KELLY BLVD,Standard,ROCKLAND AVE
80,"III,II",2,5, ,II,KELLY BLVD,Sharrows,2016-07-15,00:00:00.000,2,2016-07-15,00:00:00.000,ON,7816,ROCKLAND AVE,Standard,MC DIVITT AVE
81,II,2,5, ,II,MC DIVITT AVE,Standard,2016-07-15,00:00:00.000,2,2016-07-15,00:00:00.000,ON,7837,ROCKLAND AVE,Standard,FOREST HILL RD
82,II,2,5, ,II,MC DIVITT AVE,Standard,2016-07-15,00:00:00.000,2,2016-07-15,00:00:00.000,ON,7843,ROCKLAND AVE,Standard,FOREST HILL RD
83,II,2,5, ,II,MC DIVITT AVE,Standard,2016-07-15,00:00:00.000,2,2016-07-15,00:00:00.000,ON,7847,ROCKLAND AVE,Standard,FOREST HILL RD
84,III,2,5, ,III,RICHMOND TERR,Sharrows,2015-09-11,00:00:00.000,2,2015-09-11,00:00:00.000,ON,9809,CLOVE ROAD,Sharrows,FOREST AVE
85,III,2,5, ,III,RICHMOND TERR,Sharrows,2015-09-11,00:00:00.000,2,2015-09-11,00:00:00.000,ON,9811,CLOVE ROAD,Sharrows,FOREST AVE
86,III,2,5, ,III,RICHMOND TERR,Sharrows,2015-09-11,00:00:00.000,2,2015-09-11,00:00:00.000,ON,10186,CLOVE ROAD,Sharrows,FOREST AVE
87,III,2,5, ,III,RICHMOND TERR,Sharrows,2015-09-11,00:00:00.000,2,2015-09-11,00:00:00.000,ON,10187,CLOVE ROAD,Sharrows,FOREST AVE
88,III,2,5, ,III,RICHMOND TERR,Sharrows,2015-09-11,00:00:00.000,2,2015-09-11,00:00:00.000,ON,10198,CLOVE ROAD,Sharrows,FOREST AVE
89,III,2,5, ,III,GUYON AV,Sharrows,2009-06-01,00:00:00.000,2,2009-06-01,00:00:00.000,ON,10312,S RAILROAD AV,Sharrows,BEACH AV
90,III,2,5, ,III,GUYON AV,Sharrows,2009-06-01,00:00:00.000,2,2009-06-01,00:00:00.000,ON,10315,S RAILROAD AV,Sharrows,BEACH AV
91,III,2,5, ,III,GUYON AV,Sharrows,2009-06-01,00:00:00.000,2,2009-06-01,00:00:00.000,ON,10317,S RAILROAD AV,Sharrows,BEACH AV
92,III,2,5, ,III,GUYON AV,Sharrows,2009-06-01,00:00:00.000,2,2009-06-01,00:00:00.000,ON,10319,S RAILROAD AV,Sharrows,BEACH AV
93,III,2,5, ,III,GUYON AV,Sharrows,2009-06-01,00:00:00.000,2,2009-06-01,00:00:00.000,ON,10338,S RAILROAD AV,Sharrows,BEACH AV
94,III,R,5, ,III,S RAILROAD AV,Signed Route,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10343,BEACH AV, ,NEW DORP PLZ
95,III,R,5, ,III,S RAILROAD AV,Signed Route,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10344,BEACH AV, ,NEW DORP PLZ
96,III,2,5, ,III,GUYON AV,Sharrows,2009-06-01,00:00:00.000,2,2009-06-01,00:00:00.000,ON,10345,S RAILROAD AV,Sharrows,BEACH AV
97,II,R,5, ,II,BEACH AV,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10510,NEW DORP PLZ, ,NEW DORP LA
98,II,L,5, ,II,BEACH AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10516,NEW DORP PLZ,Standard,JACQUES AV
99,II,R,5, ,II,BEACH AV,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10536,NEW DORP PLZ, ,NEW DORP LA
100,II,L,5, ,II,BEACH AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10544,NEW DORP PLZ,Standard,JACQUES AV
101,II,R,5, ,II,BEACH AV,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10546,NEW DORP PLZ, ,NEW DORP LA
102,II,L,5, ,II,BEACH AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10550,NEW DORP PLZ,Standard,JACQUES AV
103,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10552,N RAILROAD AV, ,JEFFERSON AV
104,II,L,5, ,II,BEACH AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10670,NEW DORP PLZ,Standard,JACQUES AV
105,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10672,N RAILROAD AV, ,JEFFERSON AV
106,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10675,S RAILROAD AV,Standard,JEFFERSON AV
107,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10677,N RAILROAD AV, ,JEFFERSON AV
108,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10678,S RAILROAD AV,Standard,JEFFERSON AV
109,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10689,N RAILROAD AV, ,JEFFERSON AV
110,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10690,N RAILROAD AV, ,JEFFERSON AV
111,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10699,S RAILROAD AV,Standard,JEFFERSON AV
112,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10773,S RAILROAD AV,Standard,JEFFERSON AV
113,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10775,N RAILROAD AV, ,JEFFERSON AV
114,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,10779,S RAILROAD AV,Standard,JEFFERSON AV
115,"II,III",2,5, ,II,FR CAPODANNO BLVD,Standard,1980-07-01,00:00:00.000,2,2009-06-01,00:00:00.000,ON,10966,MIDLAND AV,Signed Route,HYLAN BLVD
116,"II,III",2,5, ,II,FR CAPODANNO BLVD,Standard,1980-07-01,00:00:00.000,2,2009-06-01,00:00:00.000,ON,11032,MIDLAND AV,Signed Route,HYLAN BLVD
117,II,2,5, ,II,FR CAPODANNO BLVD,Standard,1980-07-01,00:00:00.000,2,1980-07-01,00:00:00.000,ON,11070,MIDLAND AV,Standard,HYLAN BLVD
118,II,2,5, ,II,FR CAPODANNO BLVD,Standard,1980-07-01,00:00:00.000,2,1980-07-01,00:00:00.000,ON,11074,MIDLAND AV,Standard,HYLAN BLVD
119,II,2,5, ,II,FR CAPODANNO BLVD,Standard,1980-07-01,00:00:00.000,2,1980-07-01,00:00:00.000,ON,11076,MIDLAND AV,Standard,HYLAN BLVD
120,II,2,5, ,II,FR CAPODANNO BLVD,Standard,1980-07-01,00:00:00.000,2,1980-07-01,00:00:00.000,ON,11080,MIDLAND AV,Standard,HYLAN BLVD
121,II,2,5, ,II,FR CAPODANNO BLVD,Standard,1980-07-01,00:00:00.000,2,1980-07-01,00:00:00.000,ON,11084,MIDLAND AV,Standard,HYLAN BLVD
122,II,2,5, ,II,FR CAPODANNO BLVD,Standard,1980-07-01,00:00:00.000,2,1980-07-01,00:00:00.000,ON,11133,MIDLAND AV,Standard,HYLAN BLVD
123,II,2,5, ,II,FR CAPODANNO BLVD,Standard,1980-07-01,00:00:00.000,2,1980-07-01,00:00:00.000,ON,11137,MIDLAND AV,Standard,HYLAN BLVD
124,II,2,5, ,II,FR CAPODANNO BLVD,Standard,1980-07-01,00:00:00.000,2,1980-07-01,00:00:00.000,ON,11145,MIDLAND AV,Standard,HYLAN BLVD
125,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11376,S RAILROAD AV,Standard,JEFFERSON AV
126,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11379,N RAILROAD AV, ,JEFFERSON AV
127,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11381,S RAILROAD AV,Standard,JEFFERSON AV
128,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11384,N RAILROAD AV, ,JEFFERSON AV
129,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11455,S RAILROAD AV,Standard,JEFFERSON AV
130,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11457,N RAILROAD AV, ,JEFFERSON AV
131,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11461,S RAILROAD AV,Standard,JEFFERSON AV
132,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11463,N RAILROAD AV, ,JEFFERSON AV
133,II,R,5, ,II,HYLAN BLVD,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11464,MIDLAND AV, ,N RAILROAD AV
134,II,R,5, ,II,HYLAN BLVD,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11468,MIDLAND AV, ,N RAILROAD AV
135,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11469,S RAILROAD AV,Standard,JEFFERSON AV
136,III,R,5, ,III,HYLAN BLVD,Sharrows,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11470,MIDLAND AV, ,N RAILROAD AV
137,III,R,5, ,III,HYLAN BLVD,Sharrows,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11474,MIDLAND AV, ,N RAILROAD AV
138,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11486,N RAILROAD AV, ,JEFFERSON AV
139,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11490,S RAILROAD AV,Standard,JEFFERSON AV
140,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11492,N RAILROAD AV, ,JEFFERSON AV
141,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11493,S RAILROAD AV,Standard,JEFFERSON AV
142,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11495,N RAILROAD AV, ,JEFFERSON AV
143,III,R,5, ,III,HYLAN BLVD,Sharrows,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11604,MIDLAND AV, ,N RAILROAD AV
144,III,R,5, ,III,HYLAN BLVD,Sharrows,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11606,MIDLAND AV, ,N RAILROAD AV
145,III,R,5, ,III,HYLAN BLVD,Sharrows,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11608,MIDLAND AV, ,N RAILROAD AV
146,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11615,S RAILROAD AV,Standard,JEFFERSON AV
147,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11617,N RAILROAD AV, ,JEFFERSON AV
148,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11619,N RAILROAD AV, ,JEFFERSON AV
149,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11620,S RAILROAD AV,Standard,JEFFERSON AV
150,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11626,S RAILROAD AV,Standard,JEFFERSON AV
151,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11628,N RAILROAD AV, ,JEFFERSON AV
152,II,R,5, ,II,NEW DORP LA,Standard,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11636,N RAILROAD AV, ,JEFFERSON AV
153,II,L,5, ,II,N RAILROAD AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11637,JEFFERSON AV,Standard,HYLAN BLVD
154,II,L,5, ,II,N RAILROAD AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11639,JEFFERSON AV,Standard,HYLAN BLVD
155,II,L,5, ,II,JACQUES AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11640,S RAILROAD AV,Standard,JEFFERSON AV
156,III,L,5, ,III,N RAILROAD AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11641,JEFFERSON AV,Sharrows,HYLAN BLVD
157,III,L,5, ,III,MIDLAND AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11717,HYLAN BLVD,Signed Route,JEFFERSON AV
158,III,L,5, ,III,MIDLAND AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11719,HYLAN BLVD,Signed Route,JEFFERSON AV
159,III,L,5, ,III,MIDLAND AV, ,2009-06-01,00:00:00.000,1,2009-06-01,00:00:00.000,ON,11721,HYLAN BLVD,Signed Route,JEFFERSON AV
