FID,segmentid,street,boro,facilitycl,fromstreet,tostreet,onoffst,allclasses,instdate,moddate,comments,bikedir,lanecount,ft_facilit,tf_facilit
496,230187,SOUTH BEACH GREENWAY,5,I,MILLER FIELD,USS N CAROLINA RD,OFF,I,2006-04-01T00:00:00,2013-10-15T00:00:00,South Beach Greenway Open Dawn to Dusk,2,2,Greenway,Greenway
497,262688,C P GRAND ARMY PLZ APPR,1,I,GRAND ARMY PLZ,EAST DR,OFF,I,1979-05-01T00:00:00,1979-05-01T00:00:00, ,2,2,Greenway,Greenway
498,253489,E 138 ST,2,II,GRAND CONCOURSE,GRAND CONCOURSE,ON,II,2018-05-04T00:00:00,2018-05-04T00:00:00, ,2,2,Standard,Standard
499,37465,E 78 ST,1,II,5 AVE,YORK AVE,ON,II,2016-07-15T00:00:00,2016-07-15T00:00:00, ,R,1,Standard, 
500,57132,PARSONS BLVD,4,III,COOLIDGE AVE,84 RD,ON,III,2017-12-15T00:00:00,2017-12-15T00:00:00, ,2,2,Sharrows,Sharrows
501,186553,VANDERBILT MOTOR PARKWAY,4,I,WINCHESTER BLVD,HOLLIS HILLS TER,OFF,I,1938-07-01T00:00:00,1938-07-01T00:00:00, ,2,2,Greenway,Greenway
502,311510,CROTONA AV,2,II,CROTONA PK S,CROTONA PK N,ON,II,2010-05-01T00:00:00,2010-05-01T00:00:00, ,2,2,Standard,Curbside
503,265869,E 138 ST,2,II,3 AV,BRUCKNER BLVD,ON,II,2013-11-07T00:00:00,2013-11-07T00:00:00, ,2,2,Standard,Standard
504,10924,NEW DORP LN,5,III,MILL RD,FDR BOARDWALK,ON,III,2018-12-24T00:00:00,2018-12-24T00:00:00, ,2,2,Sharrows,Sharrows
505,44930,TROUTMAN ST,3,II,WOODWARD AV,EVERGREEN AV,ON,II,2018-10-25T00:00:00,2018-10-25T00:00:00, ,L,1, ,Standard
506,30185,WILLOUGHBY AV,3,II,WASHINGTON PARK,MYRTLE AV,ON,II,2007-05-01T00:00:00,2007-05-01T00:00:00, ,R,1,Standard, 
507,89178,EAST 222 STREET,2,II,WHITE PLAINS RD,BAYCHESTER AVE,ON,II,2013-07-12T00:00:00,2013-07-12T00:00:00, ,2,2,Standard,Standard
508,10690,N RAILROAD AV,5,II,NEW DORP LA,JEFFERSON AV,ON,II,2009-06-01T00:00:00,2009-06-01T00:00:00, ,R,1,Standard, 
509,9007713,JEWEL AV,4,II,PARK DR E,164 ST,ON,II,2007-10-01T00:00:00,2007-10-01T00:00:00, ,L,1, ,Standard
510,195794,BEACH 73 ST,4,II,SHORE FRONT PKWY,ROCKAWAY BEACH BLVD,ON,II,2016-10-01T00:00:00,2016-10-01T00:00:00, ,R,1,Standard, 
511,301535,F D R BOARDWALK,5,I,MIDLAND BEACH GREENWAY,OCEAN AV,OFF,I,1935-01-01T00:00:00,2012-10-29T00:00:00,Bicycles permitted 5-10am only,2,2,Greenway,Greenway
512,187269,SANDS ST,3,II,JAY ST,PEARL ST,ON,II,2014-07-01T00:00:00,2014-07-01T00:00:00, ,L,1, ,Curbside
513,49145,MYRTLE AV,4,III,FRESH POND RD,65 PL,ON,III,2014-09-05T00:00:00,2014-09-05T00:00:00, ,2,2,Sharrows,Sharrows
514,31201,HARRISON AV,3,II,WALLABOUT ST,FLUSHING AV,ON,II,2008-05-01T00:00:00,2008-05-01T00:00:00, ,R,1,Standard, 
515,314813,GRAND CONCOURSE,2,II,E 161 ST,VAN CORTLANDT AVE E,ON,II,2009-05-01T00:00:00,2009-05-01T00:00:00, ,L,1, ,Standard
516,52840,FOREST PARK DR,4,I,METROPOLITAN AV,WOODHAVEN BLVD,OFF,I,1967-01-01T00:00:00,1967-01-01T00:00:00, ,2,2,Greenway,Greenway
517,265023,LA GUARDIA PL,1,III,W HOUSTON ST,W 3 ST,ON,III,2013-11-26T00:00:00,2013-11-26T00:00:00, ,2,2,Sharrows,Sharrows
518,83529,108 ST,4,III,43 AVE,ROOSEVELT AVE,ON,III,2017-08-28T00:00:00,2017-08-28T00:00:00, ,2,2,Sharrows,Sharrows
519,311032,SEAMAN AV,1,II,DYCKMAN ST,W 215 ST,ON,"II,III",2003-06-01T00:00:00,2003-06-01T00:00:00,"changed to shared SB, lane NB",2,2,Standard,Sharrows
520,147531,CLINTON ST,3,III,BUSH ST,HAMILTON AV,ON,III,2007-08-01T00:00:00,2007-08-01T00:00:00, ,L,1, ,Sharrows
521,9004393,CENTRAL AV,3,II,MYRTLE AV,DECATUR ST,ON,II,2007-07-01T00:00:00,2007-07-01T00:00:00, ,R,1,Standard, 
522,17691,58 ST,3,I,1 AV,2 AV,ON,I,2018-11-30T00:00:00,2018-11-30T00:00:00, ,2,2,Protected Path,Protected Path
523,55932,ONSLOW PL,4,III,PARK LA,GRENFELL ST,ON,III,2000-01-01T00:00:00,2010-06-01T00:00:00, ,R,1,Sharrows, 
524,78577,PARK AV,2,II,E 173 ST,E 188 ST,ON,II,2006-11-01T00:00:00,2006-11-01T00:00:00, ,L,1, ,Standard
525,11746,HYLAN BLVD,5,III,MIDLAND AV,JEFFERSON AV,ON,III,2009-06-01T00:00:00,2009-06-01T00:00:00, ,L,1, ,Signed Route
526,126927,COLONIAL RD,3,II,92 ST,WAKEMAN PL,ON,II,2003-05-01T00:00:00,2003-05-01T00:00:00, ,L,1, ,Standard
527,243630,EAST RIVER ESPLANADE,1,I,E 25 ST,JOHN ST,OFF,I,1998-01-01T00:00:00,1998-01-01T00:00:00, ,2,2,Greenway,Greenway
528,72965,DR M L KING JR BLVD,2,III,W FORDHAM RD,W TREMONT AV,ON,III,2002-06-01T00:00:00,2002-06-01T00:00:00, ,2,2,Sharrows,Sharrows
529,32204,BLEECKER ST,1,II,8 AV,BOWERY,ON,II,2007-11-01T00:00:00,2007-11-01T00:00:00, ,L,1, ,Curbside
530,34175,E 40 ST,1,II,5 AV,MADISON AV,ON,II,2012-09-21T00:00:00,2012-09-21T00:00:00, ,R,1,Standard, 
531,85621,HAVEMEYER AV,2,III,QUIMBY AV,CINCINNATUS AV,ON,III,2007-09-01T00:00:00,2007-09-01T00:00:00, ,2,2,Sharrows,Sharrows
532,9009008,SOUTH END AV,1,II,ALBANY ST,LIBERTY ST,ON,II,2011-06-01T00:00:00,2011-06-01T00:00:00, ,2,2,Standard,Standard
533,34468,COLUMBUS AV,1,II,W 67 ST,W 65 ST,ON,II,2015-10-01T00:00:00,2015-10-01T00:00:00, ,L,1, ,Standard
534,243882,HARLEM RIVER DR GREENWAY,1,I,W 155 ST,10 AV,OFF,I,2003-08-01T00:00:00,2003-08-01T00:00:00, ,2,2,Greenway,Greenway
535,37591,E 90 ST,1,II,EAST END AV,5 AV,ON,II,2007-08-01T00:00:00,2007-08-01T00:00:00, ,R,1,Standard, 
536,47437,PITKIN AVE,3,III,POWELL ST,PENNSYLVANIA AVE,ON,III,2015-08-19T00:00:00,2015-08-19T00:00:00, ,2,2,Sharrows,Sharrows
537,127504,DEAN ST,3,II,SMITH ST,ROCHESTER AV,ON,II,2003-11-01T00:00:00,2003-11-01T00:00:00, ,R,1,Standard, 
538,9003620,TOMPKINS AV,3,III,FLUSHING AV,MYRTLE AV,ON,III,1997-11-01T00:00:00,2008-05-01T00:00:00, ,R,1,Sharrows, 
539,273776,1 AV,1,I,E 38 ST,E 37 ST,ON,I,2003-08-01T00:00:00,2014-12-12T00:00:00, ,2,2,Protected Path,Protected Path
540,116421,BRONX RIVER AV,2,II,WESTCHESTER AV,E 174 ST,ON,II,2018-10-25T00:00:00,2018-10-25T00:00:00, ,2,2,Standard,Standard
541,70357,ST ANNS AV,2,III,E 135 ST,E 149 ST,ON,III,2003-05-01T00:00:00,2003-05-01T00:00:00, ,2,2,Sharrows,Sharrows
542,22220,SACKETT STREET,3,II,BOND ST,VAN BRUNT ST,ON,II,2013-09-25T00:00:00,2013-09-25T00:00:00, ,L,1, ,Standard
543,236788,HUTCHINSON RIVER GREENWAY,2,I,BRUCKNER BLVD,PELHAM PKWY GREENWAY,OFF,I,2006-04-01T00:00:00,2006-04-01T00:00:00, ,2,2,Greenway,Greenway
544,155217,FR CAPODANNO BLVD,5,III,DRURY AV,LILY POND AV,ON,III,1980-07-01T00:00:00,2011-12-09T00:00:00, ,L,1, ,Sharrows
545,243102,CITY ISLAND RD GREENWAY,2,I,SHORE RD,CITY ISLAND AV,OFF,I,1999-10-01T00:00:00,1999-10-01T00:00:00, ,2,2,Greenway,Greenway
546,311213,HUNTS PT AV,2,II,GARRISON AVE,SPOFFORD AVE,ON,II,2011-11-01T00:00:00,2011-11-01T00:00:00, ,2,2,Standard,Standard
547,36753,WEST RD,1,III,ROOSEVELT ISLAND GREENWAY,ROOSEVELT ISLAND GREENWAY,ON,III,1987-01-01T00:00:00,1987-01-01T00:00:00, ,2,2,Signed Route,Signed Route
548,156243,QUEENS BLVD,4,I,73 ST,50 ST,ON,I,2015-10-09T00:00:00,2015-10-09T00:00:00, ,L,1, ,Protected Path
549,44186,MESEROLE ST,3,II,BUSHWICK PL,UNION AVE,ON,II,2017-06-26T00:00:00,2017-06-26T00:00:00, ,L,1, ,Standard
550,151863,PARK ROW,1,I,FRANKFORT ST,PEARL ST,ON,I,2018-06-15T00:00:00,2018-06-15T00:00:00, ,2,2,Protected Path,Protected Path
551,32896,2 AV,1,I,E 14 ST,E 2 ST,ON,I,1998-07-01T00:00:00,2010-10-01T00:00:00, ,L,1, ,Protected Path
552,151105,QUEENS BLVD,4,I,ELIOT AVE,YELLOWSTONE BLVD,ON,I,2017-12-11T00:00:00,2017-12-11T00:00:00, ,R,1,Protected Path, 
553,74155,69 ST,4,III,CALDWELL AVE,58 AVE,ON,III,2016-11-25T00:00:00,2016-11-25T00:00:00, ,2,2,Sharrows,Sharrows
554,32137,W BROADWAY,1,III,GRAND ST,HOUSTON ST,ON,III,2013-11-26T00:00:00,2013-11-26T00:00:00, ,2,2,Sharrows,Sharrows
555,18075,CLAYTON ROAD,1,I,CRAIG RD N,KIMMEL RD,OFF,I,2013-10-25T00:00:00,2013-10-25T00:00:00, ,2,2,Greenway,Greenway
556,32550,BLEECKER ST,1,II,8 AV,BOWERY,ON,II,2007-11-01T00:00:00,2007-11-01T00:00:00, ,L,1, ,Standard
557,234915,LAURELTON GREENWAY,4,I,147 AV,MERRICK BLVD,OFF,I,2006-09-01T00:00:00,2006-09-01T00:00:00, ,2,2,Greenway,Greenway
558,33047,DELANCEY ST,1,III,MANGIN ST,CLINTON ST,ON,III,2006-10-01T00:00:00,2006-10-01T00:00:00, ,R,1,Sharrows, 
559,237741,PELHAM PKWY GREENWAY,2,I,ALLERTON AV,SHORE RD GREENWAY,OFF,I,1979-05-01T00:00:00,1979-05-01T00:00:00, ,2,2,Greenway,Greenway
560,49707,ROCKAWAY BEACH BLVD,4,II,BEACH 126 ST,JACOB RIIS PARK DRIVEWAY,ON,II,2008-11-14T00:00:00,2008-11-14T00:00:00, ,R,1,Curbside, 
561,70723,FT WASHINGTON AV,1,III,W 168 ST,W 177 ST,ON,III,2001-11-01T00:00:00,2001-11-01T00:00:00, ,2,2,Sharrows,Sharrows
562,131414,BRONXWOOD AVENUE,2,II,BURKE AVE,E 233 ST,ON,II,2013-09-25T00:00:00,2017-10-06T00:00:00, ,2,2,Standard,Standard
563,9005678,E 56 ST,3,II,FARRAGUT RD,AV T,ON,II,2003-05-01T00:00:00,2003-05-01T00:00:00, ,R,1,Standard, 
564,238555,WILLIAMSBURG BR,1,I,S 5 PL,CLINTON ST,ON,I,1909-01-01T00:00:00,2010-04-01T00:00:00,Bridge,2,2,Protected Path,Protected Path
565,144971,GRAND CONCOURSE,2,II,E 161 ST,VAN CORTLANDT AVE E,ON,II,2009-05-01T00:00:00,2009-05-01T00:00:00, ,R,1,Standard, 
566,56110,KEW GDNS RD,4,III,80 RD,83 AV,ON,III,2000-01-01T00:00:00,2010-06-01T00:00:00, ,2,2,Sharrows,Sharrows
567,158097,4 AVENUE,3,III,20 ST,40 ST,ON,III,2013-10-11T00:00:00,2013-10-11T00:00:00, ,2,2,Bike-Friendly Parking,Signed Route
568,257526,WILLIAM ST,1,III,MAIDEN LN,BEEKMAN ST,ON,III,2017-05-09T00:00:00,2017-10-15T00:00:00, ,R,1,Sharrows, 
569,67379,SKILLMAN AV,4,II,VAN DAM ST,QUEENS BLVD,ON,I,2008-05-01T00:00:00,2018-10-25T00:00:00, ,2,2,Protected Path,Protected Path
570,168179,SCHENCK AV,3,II,VANDALIA AV,FLATLANDS AV,ON,II,2003-01-01T00:00:00,2003-01-01T00:00:00, ,2,2,Curbside,Curbside
571,239425,HUDSON RIVER GREENWAY,1,I,BATTERY PARK GREENWAY,W 59 ST,OFF,I,2001-04-01T00:00:00,2001-04-01T00:00:00, ,2,2,Greenway,Greenway
572,153572,SHORE FRONT PKWY,4,I,SHORE FRONT PKWY CONNECTOR,BEACH 74 ST,ON,I,2006-09-01T00:00:00,2017-07-31T00:00:00, ,2,2,Protected Path,Protected Path
573,34873,WYTHE AV,3,II,N 14 ST,DIVISION AV,ON,II,2008-08-19T00:00:00,2008-08-19T00:00:00, ,R,1,Standard, 
574,146879,GRAND CONCOURSE,2,II,E 161 ST,VAN CORTLANDT AVE E,ON,II,2009-05-01T00:00:00,2009-05-01T00:00:00, ,L,1, ,Standard
575,179042,77 RD,4,III,PARSONS BLVD,164 ST,ON,III,2017-12-15T00:00:00,2017-12-15T00:00:00, ,2,2,Sharrows,Sharrows
576,43600,PITKIN AV,3,III,HOWARD AV,LEGION ST,ON,III,2009-10-01T00:00:00,2009-10-01T00:00:00, ,2,2,Sharrows,Sharrows
577,253054,PROSPECT PARK W,3,I,PROSPECT PARK SW,PLAZA ST W,ON,I,2010-06-01T00:00:00,2010-06-01T00:00:00, ,2,2,Protected Path,Protected Path
578,9008668,CORONA AVE,4,I,GRAND CENTRAL PKWY EXIT,SAULTELL AVE,ON,I,2017-08-28T00:00:00,2017-08-28T00:00:00, ,2,2,Protected Path,Protected Path
579,43392,PACIFIC ST,3,II,BROOKLYN AV,HOPKINSON AV,ON,II,2003-06-01T00:00:00,2003-06-01T00:00:00, ,L,1, ,Standard
580,67460,VERNON BLVD,4,I,33 RD,HALLETS COVE ESPLANADE,ON,"I,III",2008-07-31T00:00:00,2015-07-10T00:00:00,2013 - two way lane added on west curb. 2015 - jersey barriers added to provide protection,2,3,Protected Path,Sharrows
581,276509,SUFFOLK ST,1,II,GRAND ST,E HOUSTON ST,ON,II,2009-11-01T00:00:00,2009-11-01T00:00:00, ,L,1, ,Curbside
582,56951,HOOVER AVE,4,II,MAIN ST,PARSONS BLVD,ON,II,2017-12-15T00:00:00,2017-12-15T00:00:00, ,R,1,Standard, 
583,18472,SURF AV,3,III,OCEAN PKWY,W 17 ST,ON,III,1998-07-01T00:00:00,1998-07-01T00:00:00, ,2,2,Signed Route,Signed Route
584,13418,VAN DUZER ST,5,II,ROFF ST,CORNELL PL,ON,II,2017-10-17T00:00:00,2017-10-17T00:00:00, ,R,1,Curbside, 
585,153179,34 AV,4,II,59 ST,113 ST,ON,II,1997-04-01T00:00:00,1997-04-01T00:00:00, ,R,1,Standard, 
586,70668,EDGECOMBE AV,1,III,W 165 ST,W 155 ST,ON,III,2015-06-24T00:00:00,2015-06-24T00:00:00, ,2,2,Sharrows,Sharrows
587,86854,HERING AV,2,II,LYDIG AV,SACKETT AV,ON,II,2002-10-01T00:00:00,2002-10-01T00:00:00, ,L,1, ,Standard
588,270693,31 AVE,4,II,54 ST,74 ST,ON,II,2016-10-14T00:00:00,2016-10-14T00:00:00, ,2,2,Standard,Standard
589,175620,LEGGETT AV,2,III,SOUTHERN BL,TRUXTON ST,ON,III,2010-07-01T00:00:00,2010-07-01T00:00:00, ,2,2,Sharrows,Sharrows
590,89068,BRONXWOOD AVENUE,2,II,BURKE AVE,E 233 ST,ON,II,2013-09-25T00:00:00,2017-10-06T00:00:00, ,2,2,Standard,Standard
591,129882,36 ST,4,II,20 AV,ASTORIA BLVD N,ON,II,2002-07-01T00:00:00,2002-07-01T00:00:00, ,R,1,Standard, 
592,184539,RIVERSIDE DR,1,III,BROADWAY,STAFF ST,ON,III,2003-06-01T00:00:00,2003-06-01T00:00:00, ,R,1,Signed Route, 
593,9001058,E 120 ST,1,II,5 AV,PALADINO AV,ON,II,2003-06-01T00:00:00,2003-06-01T00:00:00, ,R,1,Standard, 
594,298220,PARK AV,2,II,E 173 ST,E 188 ST,ON,II,2006-11-01T00:00:00,2006-11-01T00:00:00, ,L,1, ,Standard
595,71415,E 165 ST,2,III,JEROME AV,WALTON AV,ON,III,2015-11-23T00:00:00,2015-11-23T00:00:00, ,2,2,Sharrows,Sharrows
596,33111,E 10 ST,1,II,GREENWICH AV,AV A,ON,II,2004-11-01T00:00:00,2004-11-01T00:00:00, ,R,1,Standard, 
597,78181,PARK AV,2,II,E 165 ST,E 173 ST,ON,II,2008-09-24T00:00:00,2008-09-24T00:00:00, ,R,1,Curbside, 
598,9004937,BALTIC ST,3,III,HOYT ST,BOND ST,ON,III,2012-12-15T00:00:00,2012-12-15T00:00:00, ,2,2,Sharrows,Sharrows
599,73136,W 228 ST,1,III,MARBLE HILL AV,ADRIAN AV,ON,III,2009-05-27T00:00:00,2009-05-27T00:00:00, ,R,1,Sharrows, 
600,77617,GARRISON AV,2,II,LEGGETT AV,EDGEWATER RD,ON,II,2008-04-01T00:00:00,2008-04-01T00:00:00, ,2,2,Standard,Standard
601,185000,FOREST PARK DR,4,III,FOREST PARK GREENWAY,WOODHAVEN BLVD,ON,III,2000-01-01T00:00:00,2000-01-01T00:00:00, ,2,2,Signed Route,Signed Route
602,29051,CARLTON AV,3,II,FLATBUSH AV,PACIFIC ST,ON,II,2007-05-01T00:00:00,2007-05-01T00:00:00, ,L,1, ,Standard
603,221955,BROADWAY,2,I,W 256 ST,W 261 ST,ON,I,2012-11-01T00:00:00,2018-09-21T00:00:00,Previously part of bikeID663,2,2,Protected Path,Protected Path
604,280071,CARLTON AV,3,II,ATLANTIC AV,FLUSHING AV,ON,II,2007-05-01T00:00:00,2007-05-01T00:00:00, ,R,1,Standard, 
605,27741,CATON AV,3,II,DAHILL RD,OCEAN PKWY,ON,II,2001-11-01T00:00:00,2009-11-01T00:00:00, ,R,1,Standard, 
606,154108,BAYVIEW AVE,3,III,W 33 ST,NEPTUNE AVE,ON,III,2017-07-01T00:00:00,2017-07-01T00:00:00, ,L,1, ,Bike-Friendly Parking
607,121381,FOREST PARK DR,4,III,FOREST PARK GREENWAY,WOODHAVEN BLVD,ON,III,2000-01-01T00:00:00,2000-01-01T00:00:00, ,2,2,Signed Route,Signed Route
608,22003,SACKETT STREET,3,II,BOND ST,VAN BRUNT ST,ON,II,2013-09-25T00:00:00,2013-09-25T00:00:00, ,L,1, ,Standard
609,38387,W 125 ST,1,III,ST CLAIR PL,RIVERSIDE DR,ON,III,2017-08-01T00:00:00,2017-08-01T00:00:00, ,R,1,Sharrows, 
610,9007787,MOTHER GASTON BOULEVARD,3,II,LIBERTY AV,LINDEN BLVD,ON,II,2013-06-07T00:00:00,2013-06-07T00:00:00, ,2,2,Standard,Standard
611,27801,10 AVE,3,II,PROSPECT PARK SW,18 ST,ON,II,2017-08-18T00:00:00,2017-08-18T00:00:00, ,R,1,Buffered Conventional, 
612,168134,VAN SICLEN AV,3,II,COZINE AVE,VANDALIA AVE,ON,II,2014-09-10T00:00:00,2014-09-10T00:00:00, ,2,2,Standard,Standard
613,36143,E 54 ST,1,III,MADISON AV,2 AV,ON,III,2012-09-12T00:00:00,2012-09-12T00:00:00, ,R,1,Sharrows, 
614,18852,SHORE PKWY,3,III,CROPSEY AV,24 AV,ON,III,1998-07-01T00:00:00,1998-07-01T00:00:00, ,L,1, ,Signed Route
615,139,CONFERENCE HOUSE PARK GREENWAY,5,I,HYLAN BLVD,SWINNERTON ST,OFF,I,2005-06-01T00:00:00,2005-06-01T00:00:00, ,2,2,Greenway,Greenway
616,34077,7 AVE,1,III,W 47 ST,W 46 ST,ON,III,2016-12-12T00:00:00,2016-12-12T00:00:00, ,L,1, ,Sharrows
617,34969,KENT AV,3,I,N 14 ST,CLYMER ST,ON,I,2008-11-14T00:00:00,2009-09-01T00:00:00, ,2,2,Protected Path,Protected Path
618,153364,34 AV,4,II,59 ST,113 ST,ON,II,1997-04-01T00:00:00,1997-04-01T00:00:00, ,R,1,Standard, 
619,294690,E BROADWAY,1,II,GRAND ST,CATHERINE ST,ON,II,2008-08-29T00:00:00,2008-08-29T00:00:00, ,2,2,Standard,Standard
620,236202,MOSHOLU PKWY GREENWAY,2,I,BRONX PK E,VAN CORTLANDT PK S,OFF,I,1979-05-01T00:00:00,1979-05-01T00:00:00, ,2,2,Greenway,Greenway
621,149082,STATE RD,4,II,BEACH 193 ST,BEACH 169 ST,ON,II,1997-05-01T00:00:00,1997-05-01T00:00:00, ,R,1,Curbside, 
622,298974,PUGSLEY CREEK GREENWAY,2,I,STEPHENS AV,OLMSTEAD AV,OFF,I,2009-10-01T00:00:00,2009-10-01T00:00:00, ,2,2,Greenway,Greenway
623,38345,FRED DOUGLASS BLVD,1,II,FRED DOUGLASS CIR,ST NICHOLAS AV,ON,II,2001-11-01T00:00:00,2001-11-01T00:00:00, ,R,1,Standard, 
624,239859,FDR DR GREENWAY,1,I,E 125 ST,E 60 ST,OFF,I,1939-01-01T00:00:00,1939-01-01T00:00:00, ,2,2,Greenway,Greenway
625,157818,ORIENTAL BLVD,3,II,WEST END AV,OXFORD ST,ON,II,2003-05-01T00:00:00,2003-05-01T00:00:00, ,L,1, ,Standard
626,244943,HARLEM RIVER PATHWAY,1,I,PED OVPS,TRIBOROUGH BR,OFF,I,2006-04-01T00:00:00,2006-04-01T00:00:00, ,2,2,Greenway,Greenway
627,9001835,STANTON ST,1,II,PITT ST,ELDRIDGE ST,ON,II,2010-05-01T00:00:00,2010-05-01T00:00:00, ,R,1,Curbside, 
628,105814,5 AV,3,III,23 ST,50 ST,ON,III,2013-07-02T00:00:00,2013-07-02T00:00:00, ,2,2,Sharrows,Sharrows
629,50508,91 ST,4,II,165 AV,157 AV,ON,II,2008-09-19T00:00:00,2008-09-19T00:00:00, ,R,1,Standard, 
630,9007708,JEWEL AV,4,II,PARK DR E,164 ST,ON,II,2007-10-01T00:00:00,2007-10-01T00:00:00, ,L,1, ,Standard
631,236327,MOSHOLU PKWY GREENWAY,2,I,BRONX PK E,VAN CORTLANDT PK S,OFF,I,1979-05-01T00:00:00,1979-05-01T00:00:00, ,2,2,Greenway,Greenway
632,238153,ROBERTO CLEMENTE PARK GREENWAY,2,I,W 180 ST,W 176 ST,OFF,I,1973-01-01T00:00:00,1973-01-01T00:00:00, ,2,2,Greenway,Greenway
633,15567,VAN DUZER ST,5,III,WRIGHT ST,HANNAH ST,ON,III,2017-10-17T00:00:00,2017-10-17T00:00:00, ,L,1, ,Sharrows
634,68674,HOYT AV S,4,II,21 ST,29 ST,ON,II,2010-07-01T00:00:00,2010-07-01T00:00:00, ,R,1,Standard, 
635,311297,HUNTS PT AV,2,II,GARRISON AVE,SPOFFORD AVE,ON,II,2011-11-01T00:00:00,2011-11-01T00:00:00, ,2,2,Standard,Standard
636,33956,W 44 ST,1,III,8TH AV,9TH AV,ON,III,2013-04-11T00:00:00,2013-04-11T00:00:00, ,L,1, ,Sharrows
637,24138,PIKE ST,1,III,CHERRY ST,DIVISION ST,ON,III,2009-08-01T00:00:00,2009-08-01T00:00:00, ,R,1,Sharrows, 
638,239408,HUDSON RIVER GREENWAY,1,I,BATTERY PARK GREENWAY,W 59 ST,OFF,I,2001-04-01T00:00:00,2001-04-01T00:00:00, ,2,2,Greenway,Greenway
639,49923,BOARDWALK,4,I,BEACH 126 St,BEACH 39 ST,OFF,I,1970-01-01T00:00:00,2014-01-01T00:00:00,Boardwalk open 6am-10am: Bicycles allowed at all times except Weekends 10am-6pm May-September,2,2,Boardwalk,Boardwalk
640,277034,MOUNT LORETTO GREENWAY,5,I,HYLAN BLVD,HYLAN BLVD,OFF,I,1900-01-01T00:00:00,1900-01-01T00:00:00, ,2,2,Greenway,Greenway
641,101340,73 Av,4,I,SPRINGFIELD BL,230 ST,ON,I,2018-09-30T00:00:00,2018-09-30T00:00:00, ,2,2,Protected Path,Protected Path
642,163824,MANGIN ST,1,III,DELANCEY ST S,DELANCEY ST N,ON,III,2015-09-18T00:00:00,2015-09-18T00:00:00, ,R,1,Sharrows, 
643,71644,WEST 170 STREET,2,II,OGDEN AVE,UNIVERSITY AVE,ON,II,2015-06-29T00:00:00,2015-06-29T00:00:00, ,R,1,Standard, 
644,16678,SHORE RD,3,II,4 AV,68 ST,ON,II,2003-05-01T00:00:00,2003-05-01T00:00:00, ,R,1,Standard, 
645,218229,COLUMBUS AV,1,I,W 77 ST,W 69 ST,ON,I,2013-09-25T00:00:00,2013-09-25T00:00:00, ,L,1, ,Protected Path
646,43607,E NEW YORK AV,3,III,PROSPECT PL,GRAFTON ST,ON,III,2009-10-01T00:00:00,2009-10-01T00:00:00, ,L,1, ,Sharrows
647,9006683,ADAM C POWELL BLVD,1,III,W 133 ST,W 150 ST,ON,III,2012-11-06T00:00:00,2012-11-06T00:00:00, ,L,1, ,Bike-Friendly Parking
648,32223,7 AV,1,I,11 ST,GROVE ST,ON,I,2018-09-11T00:00:00,2018-09-11T00:00:00, ,L,1, ,Protected Path
649,17856,5 AV,3,III,50 ST,65 ST,ON,III,2001-11-01T00:00:00,2014-07-31T00:00:00, ,2,2,Sharrows,Sharrows
650,178972,73 AV,4,II,MAIN ST,199 ST,ON,II,1979-07-01T00:00:00,1979-07-01T00:00:00, ,2,2,Standard,Standard
651,89800,PARK DR E,4,II,JEWEL AV,77 AV,ON,II,1979-07-01T00:00:00,1979-07-01T00:00:00, ,2,2,Standard,Standard
652,29529,ST JOHNS PL,3,II,WASHINGTON AVE,ROGERS AVE,ON,II,2016-09-20T00:00:00,2016-09-20T00:00:00, ,R,1,Standard, 
653,190922,SURF AV,3,III,OCEAN PKWY,W 17 ST,ON,III,1998-07-01T00:00:00,1998-07-01T00:00:00, ,L,1, ,Signed Route
654,293703,E 70 ST,1,II,5 AVE,1 AVE,ON,II,2016-08-10T00:00:00,2016-08-10T00:00:00, ,R,1,Standard, 
655,35232,UNION AV,3,III,MEEKER AV,N 11 ST,ON,III,2018-11-27T00:00:00,2018-11-27T00:00:00, ,2,2,Sharrows,Sharrows
656,237699,BRONX RIVER GREENWAY,2,I,MOSHOLU PKWY GREENWAY,E 231 ST,OFF,I,1970-01-01T00:00:00,1970-01-01T00:00:00, ,2,2,Greenway,Greenway
657,153160,34 AV,4,II,59 ST,113 ST,ON,II,1997-04-01T00:00:00,1997-04-01T00:00:00, ,L,1, ,Standard
658,9009472,W 26 ST,1,I,12 AVE,BROADWAY,ON,I,2018-08-31T00:00:00,2018-08-31T00:00:00, ,L,1, ,Protected Path
659,64986,FRANCIS LEWIS BLVD,4,II,120 AV,121 AV,ON,II,2003-06-01T00:00:00,2003-06-01T00:00:00, ,2,2,Standard,Standard
660,308495,RANDALLS ISLAND GREENWAY,1,I,RANDALLS ISLAND GREENWAY,WARDS ISLAND GREENWAY,OFF,I,2012-06-01T00:00:00,2012-06-01T00:00:00, ,2,2,Greenway,Greenway
661,299921,VAN CORTLANDT PARK GREENWAY,2,I,VAN CORTLAND AV W,SOUTH COUNTY TRAILWAY,OFF,I,1900-01-01T00:00:00,1900-01-01T00:00:00,dirt trail,2,2,Dirt Trail,Dirt Trail
662,313290,WEST END AV,1,III,W 72 ST,W 107 ST,ON,III,2014-11-14T00:00:00,2014-11-14T00:00:00, ,2,2,Bike-Friendly Parking,Bike-Friendly Parking
